,1,Article,Keyword,Sentence
0,,test_pdfs/The Revenge Of The Lost Boys.pdf,male,"Although mass killers understandably seize our imaginations and dominate the media, and not all dysfunctional young males are violent and not all of them gain the publicity they crave."
1,,test_pdfs/The Revenge Of The Lost Boys.pdf,male,"What they all have in common is their gender (male), their race (most are white), and their youth (almost all under 30 at their peak destructiveness)."
2,,test_pdfs/The Revenge Of The Lost Boys.pdf,male,"Some of them kill, but others lash out in other, more creative http://thefederalist.com/2015/07/09/the-revenge-of-the-lost-boys/ 1/9 3/24/2018 The Revenge Of The Lost Boys ways: whether its Edward Snowden deciding only he could save America from the scourge of surveillance, or Bowe Bergdahl walking away from his post to personally solve the war in Afghanistan, the combination of immaturity and grandiosity among these young males is jaw-dropping in its scale even when it is not expressed through the barrel of a gun."
3,,test_pdfs/The Revenge Of The Lost Boys.pdf,male,"They turn into what German writer Hans Enzensberger called ""the http://thefederalist.com/2015/07/09/the-revenge-of-the-lost-boys/ 2/9 3/24/2018 The Revenge Of The Lost Boys radicalized losers,"" the unsuccessful males who channel their blunted male social impulses toward destruction."
4,,test_pdfs/The Revenge Of The Lost Boys.pdf,male,"Jihadis, of course, are the object lesson in this kind of deformed male identity."
5,,test_pdfs/The Revenge Of The Lost Boys.pdf,male,"It narcissism among seems unarguable, however, that young black males who younger people are prey on their own society share one essential trait in creating a new kind common with the white losers who act out and harm of lashing out."
6,,test_pdfs/The Revenge Of The Lost Boys.pdf,male,"Like their white brethren, dangerous black males are angry and childish, but their effect usually does not reach beyond their own neighborhoods."
7,,test_pdfs/The Revenge Of The Lost Boys.pdf,male,"Likewise, the media and the public, for a variety of tragic reasons, simply do not respond to the daily violence among young blacks the same way they respond to the showy productions executed by angry white males."
8,,test_pdfs/The Revenge Of The Lost Boys.pdf,male,"Very few Americans serve in the military, yet among this small sample of alienated losers, many either joined or tried to join the Army, including McVeigh, Snowden, Bergdahl, and, while he identified as a male, a young Bradley Manning."
9,,test_pdfs/The Revenge Of The Lost Boys.pdf,male,"A Failure to Mature Out of Social Confusion Intelligence analyst John Schindler has identified these males as a generational ""insider threat"" to the security of the United States."
10,,test_pdfs/The Revenge Of The Lost Boys.pdf,male,"Nonetheless, social isolation is an important, even key, factor in the paths chosen by these males."
11,,test_pdfs/The Revenge Of The Lost Boys.pdf,male,"And this should matter to all of us, because when society breeds too many narcissistic males determined to get even with a world that denies them their due-the fame, recognition, or sexual mate they think they deserve-were all in danger."
12,,test_pdfs/The Revenge Of The Lost Boys.pdf,male,"Young males no longer live in a world where theres a Jack for every Jill, or where social institutions like schools, the police, churches, or the military-all decimated by repeated social attack since the 1960s-provide some kind of equalizing effect among men, protecting and building up the weaker boys while disciplining and maturing the stronger ones."
13,,test_pdfs/The Revenge Of The Lost Boys.pdf,male,"The result is that today American youth, and especially the males, live in a kind of ""Lord of the Flies"" domain where the Wild Boys act without restraint and the weak kids fall off the ledge, without even a noble Ralph to mourn them."
14,,test_pdfs/The Revenge Of The Lost Boys.pdf,male,The alreadyanarchic environment of adolescence has been turned completely toxic by the absence of responsible adults and especially of male role models.
15,,test_pdfs/The Revenge Of The Lost Boys.pdf,male,"I dont know how to do that: the multiple horses of promiscuity, affluence (even among ""poor"" kids), permissiveness, violent and ghettoized teen culture, and perpetual immaturity are so far out of the barn now, and so entrenched in American life, that I have no idea how to stop their corrosive influence on the weaker or less competitive males who are plowed under a society that moves faster than they, and we, can manage."
16,,test_pdfs/The Revenge Of The Lost Boys.pdf,male,"The traditional venues for male socialization adolescence has (including marriage) have mostly vanished or, in the case been turned of schools, been rendered safe havens from the normal completely toxic by behavior of males in need of discipline and maturing."
17,,test_pdfs/The Revenge Of The Lost Boys.pdf,male,"the absence of Nor can mentors or schools fight the epidemic of divorce, responsible adults pop culture, the media, and the overall assaults on the and especially of creation of the kind of family life that channels men male role models."
18,,test_pdfs/The Revenge Of The Lost Boys.pdf,race,"What they all have in common is their gender (male), their race (most are white), and their youth (almost all under 30 at their peak destructiveness)."
19,,test_pdfs/The Revenge Of The Lost Boys.pdf,race,"In a darker but similar vein, former Federal Bureau of Investigation agent Dave Gomez noted after the Roof case that many of these young men ""are guys with anger issues about race and unfairness and loneliness and inadequacy, and they find this stuff online and start copying the rhetoric."
20,,test_pdfs/The Revenge Of The Lost Boys.pdf,youth,"What they all have in common is their gender (male), their race (most are white), and their youth (almost all under 30 at their peak destructiveness)."
21,,test_pdfs/The Revenge Of The Lost Boys.pdf,youth,"The result is that today American youth, and especially the males, live in a kind of ""Lord of the Flies"" domain where the Wild Boys act without restraint and the weak kids fall off the ledge, without even a noble Ralph to mourn them."
22,,test_pdfs/The Revenge Of The Lost Boys.pdf,adolescent,"For all their faux piety and supposed distaste for Western immorality, the young men from North America and Europe who gravitate toward jihadism are often gleeful consumers of forbidden Western delights, and they have a particular obsession with rape, pornography, and an adolescent fixation on the subjugation of women."
23,,test_pdfs/The Revenge Of The Lost Boys.pdf,adolescent,"With adolescent fantasies of grandeur, the young Wolfking, the ""TrueHOOHA"" (as he was known in another of his identities on the Internet) also headed for the Special Forces-every little boy wants to be the bravest soldier in the Army, apparently-only to find that things like standing up straight and getting out of bed in the morning were skills hed have to master before he could jump out of airplanes with a knife in his teeth."
24,,test_pdfs/The Revenge Of The Lost Boys.pdf,adolescent,"If it hadnt been one of these causes, it would have been something else: I have no doubt that at some point we will see a mass murder or http://thefederalist.com/2015/07/09/the-revenge-of-the-lost-boys/ 6/9 3/24/2018 The Revenge Of The Lost Boys anti-government attack committed by a spelling reformer or a raw-milk advocate, if thats what it takes for a screwed-up adolescent to act out his rage against a world that refuses to acknowledges his specialness."
25,,test_pdfs/The Revenge Of The Lost Boys.pdf,gun,"Amidst the wreckage, we look for reasons that already fit our preconceptions about violence, and we blame racism, guns, unemployment, drugs, a bad family, or whatever else helps us to make sense of the tragedy."
26,,test_pdfs/The Revenge Of The Lost Boys.pdf,gun,"Some of them kill, but others lash out in other, more creative http://thefederalist.com/2015/07/09/the-revenge-of-the-lost-boys/ 1/9 3/24/2018 The Revenge Of The Lost Boys ways: whether its Edward Snowden deciding only he could save America from the scourge of surveillance, or Bowe Bergdahl walking away from his post to personally solve the war in Afghanistan, the combination of immaturity and grandiosity among these young males is jaw-dropping in its scale even when it is not expressed through the barrel of a gun."
27,,test_pdfs/The Revenge Of The Lost Boys.pdf,gun,"Many of these young misfits are mesmerized, as boys transitioning to men often are, with symbols of sex and power: guns, the military, and heroic medieval myths."
28,,test_pdfs/The Revenge Of The Lost Boys.pdf,knife,"With adolescent fantasies of grandeur, the young Wolfking, the ""TrueHOOHA"" (as he was known in another of his identities on the Internet) also headed for the Special Forces-every little boy wants to be the bravest soldier in the Army, apparently-only to find that things like standing up straight and getting out of bed in the morning were skills hed have to master before he could jump out of airplanes with a knife in his teeth."
29,,test_pdfs/The Revenge Of The Lost Boys.pdf, caus,"A young man-a ""loner"" and ""adrift,"" as usual-seizes a vile cause and attacks innocent people."
30,,test_pdfs/The Revenge Of The Lost Boys.pdf, caus,"If it hadnt been one of these causes, it would have been something else: I have no doubt that at some point we will see a mass murder or http://thefederalist.com/2015/07/09/the-revenge-of-the-lost-boys/ 6/9 3/24/2018 The Revenge Of The Lost Boys anti-government attack committed by a spelling reformer or a raw-milk advocate, if thats what it takes for a screwed-up adolescent to act out his rage against a world that refuses to acknowledges his specialness."
31,,test_pdfs/The School Shootings of 2018_ What's Behind the Numbers - Education Week.pdf,correlat,xeex80x82ize of the dotxeex80x84 correlatexeex80x84 to the numxeex80x83er of victimxeex80x84.
